,compound_name,cas_number,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id
2933,Quercetin,117-39-5,Mus musculus,LACA,10 mg/day,-14.2,,MALE,S,7140862
2932,Quercetin,117-39-5,Mus musculus,LACA,10 mg/day,-5.8,,FEMALE,NS,7140862
1294,Quercetin,117-39-5,Caenorhabditis elegans,N2,100 µM,19.0,15.0,,S,18024103
1295,Quercetin,117-39-5,Caenorhabditis elegans,N2,100 µM,10.0,,,S,18692520
1296,Quercetin,117-39-5,Caenorhabditis elegans,N2,200 µM,10.0,,,S,18692520
1298,Quercetin,117-39-5,Caenorhabditis elegans,N2,100 µM,8.0,16.0,,S,19043800
1301,Quercetin,117-39-5,Caenorhabditis elegans,N2,200 µM,10.0,,,S,19043800
1299,Quercetin,117-39-5,Caenorhabditis elegans,N2,200 µM,9.0,,,S,19043800
1300,Quercetin,117-39-5,Caenorhabditis elegans,N2,200 µM,10.0,-8.0,,NS,19043800
21,Quercetin,117-39-5,Aedes aegypti,Liverpool,100 µM,59.85,4.76,MALE,S,27732590
22,Quercetin,117-39-5,Aedes aegypti,Liverpool,100 µM,30.0,3.4,FEMALE,S,27732590
28,Quercetin,117-39-5,Aedes albopictus,,50 ppm,19.01,,FEMALE,S,34188892
29,Quercetin,117-39-5,Aedes albopictus,,100 ppm,20.88,,FEMALE,S,34188892
30,Quercetin,117-39-5,Aedes albopictus,,200 ppm,20.53,,FEMALE,S,34188892
2412,Quercetin,117-39-5,Drosophila melanogaster,Canton S,0.5 µM,-12.0,-13.84,,S,28066251
2415,Quercetin,117-39-5,Drosophila melanogaster,Canton S,0.5 µM,-4.55,-6.7,,S,28066251
1305,Quercetin,117-39-5,Caenorhabditis elegans,N2,200 µM,18.0,29.0,,S,19043800
1314,Quercetin,117-39-5,Caenorhabditis elegans,N2,200 µM,10.0,,,S,22493606
1304,Quercetin,117-39-5,Caenorhabditis elegans,N2,100 µM,11.0,25.0,,S,19043800
1307,Quercetin,117-39-5,Caenorhabditis elegans,N2,22 µg/mL,14.0,,,S,21563825
1308,Quercetin,117-39-5,Caenorhabditis elegans,N2,200 µM,10.82,5.11,,S,21776484
1309,Quercetin,117-39-5,Caenorhabditis elegans,N2,100 µM,5.79,18.35,,S,22155175
1310,Quercetin,117-39-5,Caenorhabditis elegans,N2,250 µM,-7.0,,,S,22493606
1311,Quercetin,117-39-5,Caenorhabditis elegans,N2,50 µM,2.0,,,NS,22493606
1312,Quercetin,117-39-5,Caenorhabditis elegans,N2,200 µM,9.0,,,S,22493606
1313,Quercetin,117-39-5,Caenorhabditis elegans,N2,100 µM,11.0,,,S,22493606
1306,Quercetin,117-39-5,Caenorhabditis elegans,N2,200 µM,11.0,9.0,,S,19043800
1293,Q3M,,Caenorhabditis elegans,N2,20 µg/mL,20.0,,,S,21563825
1292,Q3'G,,Caenorhabditis elegans,N2,21 µg/mL,12.0,,,S,21563825
1290,Pyruvate,57-60-3,Caenorhabditis elegans,N2,8 mM,-25.35,,,S,26729005
1291,Pyruvate,57-60-3,Caenorhabditis elegans,N2,8 mM,25.17,,,S,26729005
1288,Pyrroloquinoline quinone,72909-34-3,Caenorhabditis elegans,N2,10 mM,25.0,10.3,,S,28676501
1284,Pyrroloquinoline quinone,72909-34-3,Caenorhabditis elegans,N2,1 mM,44.44,,,S,27090484
1287,Pyrroloquinoline quinone,72909-34-3,Caenorhabditis elegans,N2,5 mM,31.25,12.5,,S,28676501
1286,Pyrroloquinoline quinone,72909-34-3,Caenorhabditis elegans,N2,3 mM,19.53,8.15,,S,28676501
1285,Pyrroloquinoline quinone,72909-34-3,Caenorhabditis elegans,N2,1 mM,10.16,3.8,,S,28676501
1289,Pyrroloquinoline quinone,72909-34-3,Caenorhabditis elegans,N2,15 mM,10.0,6.0,,S,28676501
1283,Pyrroloquinoline quinone,72909-34-3,Caenorhabditis elegans,N2,500 µM,33.33,,,S,27090484
2408,Pyrrolidine dithiocarbamate,25769-03-3,Drosophila melanogaster,,20 mg/l,15.0,,Male,S,21483034
2407,Pyrrolidine dithiocarbamate,25769-03-3,Drosophila melanogaster,,20 mg/l,16.0,,Female,S,21483034
2409,Pyrrolidine dithiocarbamate,25769-03-3,Drosophila melanogaster,Canton S,125 µM,10.0,,Male,S,24096697
2410,Pyrrolidine dithiocarbamate,25769-03-3,Drosophila melanogaster,Canton S,125 µM,12.0,,Female,S,24096697
2406,Pyridoxine ,65-23-6,Drosophila melanogaster,Oregon,0.025 g/kg,10.5,,,S,18856648
1280,Putrescine,110-60-1,Caenorhabditis elegans,N2,1 mM,10.0,,,S,25643626
1281,Putrescine,110-60-1,Caenorhabditis elegans,N2,10 mM,-13.0,,,S,25643626
1282,Putrescine,110-60-1,Caenorhabditis elegans,N2,100 µM,1.0,,,NS,25643626
2405,Purple sweet potato anthocyanin,,Drosophila melanogaster,,10 mg/mL,,14.0,,S,27329928
1279,Puer tea extract,,Caenorhabditis elegans,,2 mg/ml,,,,S,28750751
1277,Puer tea extract,,Caenorhabditis elegans,,0.223 mg/ml,,,,S,28750751
1278,Puer tea extract,,Caenorhabditis elegans,,0.67 mg/ml,,,,S,28750751
2404,Pterostilbene,537-42-8,Drosophila melanogaster,Canton-S,200 μM,-1.83,,Male,S,33008901
2403,Pterostilbene,537-42-8,Drosophila melanogaster,Canton-S,20 μM,6.69,,Female,NS,33008901
1276,Pterostilbene,537-42-8,Caenorhabditis elegans,N2,100 µM,-33.99,,,S,33008901
1275,Psoralea corylifolia extract,,Caenorhabditis elegans,N2,10 µg/mL,,9.8,,S,19350411
1274,Psora-4,,Caenorhabditis elegans,N2,100 µM,32.85,22.05,,S,30269951
1273,Psora-4,,Caenorhabditis elegans,,88 µM,42.0,,,S,24134630
2402,Prunetin,552-59-0,Drosophila melanogaster,w1118 ,25 µM,5.19,7.17,Male,S,26538555
1272,Protocatechuic acid,99-50-3,Caenorhabditis elegans,N2,100 µM,23.0,25.0,,S,23780797
1271,Protocatechuic acid,99-50-3,Caenorhabditis elegans,N2,200 µM,38.9,40.0,,S,23780797
1270,Protease treated royal jelly,,Caenorhabditis elegans,N2,10 µg/ml,18.0,44.0,,S,21858156
2931,Protandim,,Mus musculus,UM-HET3,600 ppm in chow,7.0,6.0,MALE,S,27312235
3233,Propyl gallate,121-79-9,Zaprionus paravittiger,,25 µg/ml,8.7,15.3,Female,S,8950031
1268,Propyl gallate,121-79-9,Caenorhabditis elegans,JU775,200 μM,35.29,,,S,31820364
1266,Propyl gallate,121-79-9,Caenorhabditis elegans,N2,200 μM,11.76,,,S,31820364
1265,Propyl gallate,121-79-9,Caenorhabditis elegans,N2,1 mM,12.0,0.0,,S,18755260
1267,Propyl gallate,121-79-9,Caenorhabditis elegans,MY16,200 μM,12.14,,,S,31820364
3234,Propyl gallate,121-79-9,Zaprionus paravittiger,,25 µg/ml,15.1,12.2,Male,S,8950031
112,Propyl gallate,121-79-9,Caenorhabditis briggsae,JU1348,200 μM,0.0,,,NS,31820364
1269,Propyl gallate,121-79-9,Caenorhabditis elegans,N2,200 μM,4.17,,,S,31820364
113,Propyl gallate,121-79-9,Caenorhabditis briggsae,HK104,200 μM,1.0,,,NS,31820364
1264,Propionylpromazine hydrochloride,7681-67-6,Caenorhabditis elegans,,33 µM,20.0,,,S,24134630
2400,PropanthelineBromide,,Drosophila melanogaster,Canton-S,20 μM,-0.13,,Female,NS,33008901
2401,PropanthelineBromide,,Drosophila melanogaster,Canton-S,200 μM,-1.06,,Male,NS,33008901
1263,Propantheline Bromide,50-34-0,Caenorhabditis elegans,N2,100 µM,-9.53,,,S,33008901
1262,Propantheline Bromide,50-34-0,Caenorhabditis elegans,N2,10 µM,-4.06,,,NS,33008901
1261,Propafenone hydrochloride,34183-22-7,Caenorhabditis elegans,N2,20 µM,-14.5,,,S,33723245
2399,Promethazine-HCL,58-33-3,Drosophila melanogaster,Canton-S,20 μM,10.91,,Female,S,33008901
1260,Promethazine hydrochloride,58-33-3,Caenorhabditis elegans,,176 µM,32.0,,,S,24134630
2398,Promethazine HCl,58-33-3,Drosophila melanogaster,Canton S,62.5 mg/100 mL of medium,-1.0,0.0,Male,NS,4397875
2396,Promethazine,60-87-7,Drosophila melanogaster,Canton-S,200 μM,9.98,,Male,NS,33008901
2397,Promethazine,60-87-7,Drosophila melanogaster,Canton-S,20 μM,-1.63,,Female,NS,33008901
2395,Promazine-HCl,53-60-1,Drosophila melanogaster,Canton-S,20 μM,-5.29,,Female,NS,33008901
1258,Promazine Hydrochloride,53-60-1,Caenorhabditis elegans,N2,10 µM,2.56,,,NS,33008901
1259,Promazine Hydrochloride,53-60-1,Caenorhabditis elegans,N2,100 µM,-1.03,,,NS,33008901
1257,Proline,37159-97-0,Caenorhabditis elegans,N2,10 mM,18.0,,,S,25643626
1253,Proline,37159-97-0,Caenorhabditis elegans,N2,5 µM,5.8,,,S,22482728
1256,Proline,37159-97-0,Caenorhabditis elegans,N2,5 mM,19.0,,,S,25643626
1255,Proline,37159-97-0,Caenorhabditis elegans,N2,5 mM,8.0,,,S,25643626
1254,Proline,37159-97-0,Caenorhabditis elegans,N2,1 mM,17.0,,,S,25643626
1252,Procyanidins,20347-71-1,Caenorhabditis elegans,N2,65 µg/ml,12.1,,,S,20717869
2394,Procaine HCl,51-05-8,Drosophila melanogaster,Canton S,200 mg/100 mL of medium,18.0,5.0,Female,NS,4397875
2393,Procaine HCl,51-05-8,Drosophila melanogaster,Canton S,200 mg/100 mL of medium,3.0,8.0,Male,NS,4397875
3098,Procaine,59-46-1,Rattus norvegicus,Wistar,4 mg/kg,17.3,,MALE,S,14246524
3101,Procaine,59-46-1,Rattus norvegicus,Wistar,4 mg/kg,7.76,,FEMALE,NS,14246524
3100,Procaine,59-46-1,Rattus norvegicus,Wistar,4 mg/kg,2.64,,FEMALE,NS,14246524
3099,Procaine,59-46-1,Rattus norvegicus,Wistar,4 mg/kg,21.2,,MALE,S,14246524
1251,Proanthocycanidin,,Caenorhabditis elegans,N2,67 µg/ml,36.6,,,S,22509764
2387,Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,1.0,5.1,Female,NS,25628774
2388,Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,5.7,3.1,Male,NS,25628774
2386,Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,15.5,10.4,Female,S,25628774
2390,Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,16.8,14.0,Male,S,25628774
2391,Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,3.2,2.9,Male,NS,25628774
2392,Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,13.9,8.9,Male,S,25628774
2389,Proanthocyanidins from Kunlun Chrysanthemum flowers,,Drosophila melanogaster,Oregon R+,,5.3,4.7,Female,NS,25628774
1249,Prenol,556-82-1,Caenorhabditis elegans,N2,0.1 mM,18.22,11.2,,S,32725551
1250,Prenol,556-82-1,Caenorhabditis elegans,N2,0.25 mM,22.96,17.46,,S,32725551
1248,Prenol,556-82-1,Caenorhabditis elegans,N2,0.5 mM,2.87,9.11,,NS,32725551
1247,Pregnenolone,145-13-1,Caenorhabditis elegans,N2,60 µg/mL,20.0,,,S,17266678
2930,Prednisolone sodium phosphate,125-02-0,Mus musculus,DBA/2J,3 μg/mL,0.38,4.34,FEMALE,NS,1132444
104,Pravastatin,81093-37-0,Brachionus manjavacas,Russian,0.5 μM,7.5,,,S,29340835
3192,Powdered Broccoli Lyophilisate,,Tribolium castaneum,San Bernardino,1%,,,,S,23321956
2928,Potassium titanium oxalate,14481-26-6,Mus musculus,Swiss,5 ppm,-5.36,5.99,MALE,NS,1113210
2929,Potassium titanium oxalate,14481-26-6,Mus musculus,Swiss,5 ppm,-0.36,-4.76,FEMALE,NS,1113210
1246,Potassium Chloride,7447-40-7,Caenorhabditis elegans,N2,250 mM,23.23,31.58,,S,26854551
2384,Pomegrenate juice,,Drosophila melanogaster,Canton S,0.1,8.0,,Female,S,25566518
2385,Pomegrenate juice,,Drosophila melanogaster,Canton S,0.1,18.0,,Male,S,25566518
2382,Polyvinylpyrrotidone,,Drosophila melanogaster,cross between Canton S females with Oregon RC males,500 mg/100 mL of medium,4.0,-3.0,Male,NS,4397875
2383,Polyvinylpyrrotidone,,Drosophila melanogaster,cross between Canton S females with Oregon RC males,500 mg/100 mL of medium,7.0,11.0,Female,NS,4397875
2927,Polyphenols,989-51-5,Mus musculus,C57BL/6J,alternate no food/high-fat chow,6.3,,MALE,S,22265987
3097,Polypeptide Pineal extract,,Rattus norvegicus,,"0.5 mg, 5 times a week",25.0,,Female,S,575333
2926,Polypeptide Pineal extract,,Mus musculus,C3H/Sn,0.5 mg,31.0,14.0,Female,S,6752596
2925,Polypeptide Bovine Thymus extract,,Mus musculus,C3H/Sn,0.5 mg,28.0,11.2,Female,S,6752596
1245,Polyherbal phytomedicine,,Caenorhabditis elegans,,0.01 µg/ml ,16.09,,,S,27853905
1244,Polygonum multiflorum Extract,,Caenorhabditis elegans,N2,1000 µg/mL,18.6,,,S,30036983
1243,Polygonum multiflorum Extract,,Caenorhabditis elegans,N2,100 µg/mL,4.8,,,NS,30036983
1242,Polygonum multiflorum Extract,,Caenorhabditis elegans,N2,10 µg/mL,1.5,,,NS,30036983
1241,Polydatin,27208-80-6,Caenorhabditis elegans,N2,1 mM,30.0,,,S,24305800
1239,Podofilox,518-28-5,Caenorhabditis elegans,N2,10 µM,2.13,,,NS,33008901
1240,Podofilox,518-28-5,Caenorhabditis elegans,N2,100 µM,-5.45,,,S,33008901
2381,PlusMinusButaclamol-HCL,,Drosophila melanogaster,Canton-S,20 μM,-3.3,,Female,NS,33008901
1218,Plumbagin,481-42-5,Caenorhabditis elegans,N2,10 µM,9.0,2.0,,NS,21765926
1219,Plumbagin,481-42-5,Caenorhabditis elegans,N2,7.5 µM,0.0,0.0,,NS,21765926
1233,Plumbagin,481-42-5,Caenorhabditis elegans,N2,50 µM,12.0,5.0,,S,21765926
1217,Plumbagin,481-42-5,Caenorhabditis elegans,N2,5 µM,3.0,3.0,,NS,21765926
1234,Plumbagin,481-42-5,Caenorhabditis elegans,N2,250 µM,-86.0,,,S,21765926
1232,Plumbagin,481-42-5,Caenorhabditis elegans,N2,250 µM,-91.0,,,S,21765926
1231,Plumbagin,481-42-5,Caenorhabditis elegans,N2,200 µM,-84.0,,,S,21765926
1230,Plumbagin,481-42-5,Caenorhabditis elegans,N2,150 µM,-23.0,,,S,21765926
1229,Plumbagin,481-42-5,Caenorhabditis elegans,N2,100 µM,-11.0,-13.0,,S,21765926
1228,Plumbagin,481-42-5,Caenorhabditis elegans,N2,100 µM,1.0,2.0,,NS,21765926
1227,Plumbagin,481-42-5,Caenorhabditis elegans,N2,100 µM,-16.0,-15.0,,S,21765926
1226,Plumbagin,481-42-5,Caenorhabditis elegans,N2,50 µM,-3.0,-6.0,,NS,21765926
1225,Plumbagin,481-42-5,Caenorhabditis elegans,N2,50 µM,12.0,12.0,,S,21765926
1215,Plumbagin,481-42-5,Caenorhabditis elegans,N2,2.5 µM,3.0,5.0,,NS,21765926
1224,Plumbagin,481-42-5,Caenorhabditis elegans,N2,25 µM,11.0,13.0,,S,21765926
1235,Plumbagin,481-42-5,Caenorhabditis elegans,N2,300 µM,-86.0,,,S,21765926
1236,Plumbagin,481-42-5,Caenorhabditis elegans,N2,400 µM,-90.0,,,S,21765926
1237,Plumbagin,481-42-5,Caenorhabditis elegans,N2,500 µM,-81.0,,,S,21765926
1238,Plumbagin,481-42-5,Caenorhabditis elegans,N2,500 µM,-91.0,,,S,21765926
1223,Plumbagin,481-42-5,Caenorhabditis elegans,N2,25 µM,11.0,6.0,,S,21765926
1222,Plumbagin,481-42-5,Caenorhabditis elegans,N2,25 µM,10.0,2.0,,NS,21765926
1216,Plumbagin,481-42-5,Caenorhabditis elegans,N2,1 µM,1.0,3.0,,NS,21765926
1220,Plumbagin,481-42-5,Caenorhabditis elegans,N2,25 µM,15.0,5.0,,S,21765926
1221,Plumbagin,481-42-5,Caenorhabditis elegans,N2,10 µM,7.0,3.0,,NS,21765926
1214,Platycladus orientalis seed extract,,Caenorhabditis elegans,N2,500 µg/ml,26.5,,,S,23523941
1208,Platinum nanoparticles,04/06/7440,Caenorhabditis elegans,N2,0.5 mM,22.0,,,S,18400258
1209,Platinum nanoparticles,04/06/7440,Caenorhabditis elegans,N2,50 ppb,1.7,,,NS,21737933
1210,Platinum nanoparticles,04/06/7440,Caenorhabditis elegans,N2,2 ppb,3.9,,,NS,21737933
1211,Platinum nanoparticles,04/06/7440,Caenorhabditis elegans,N2,10 ppb,5.0,,,NS,21737933
1212,Platinum nanoparticles,04/06/7440,Caenorhabditis elegans,N2,5 ppb,7.1,,,S,21737933
1213,Platinum nanoparticles,04/06/7440,Caenorhabditis elegans,N2,2 ppb,18.2,,,S,21737933
2378,Platanus orientalis Extract,,Drosophila melanogaster,Oregon R,0.1µg/ml,13.02,11.94,Mixed,S,28887920
2379,Platanus orientalis Extract,,Drosophila melanogaster,Oregon R,1 µg/ml,3.26,1.49,,S,28887920
2380,Platanus orientalis Extract,,Drosophila melanogaster,Oregon R,10 µg/ml,2.43,7.46,,S,28887920
2377,Pirenperone,75444-65-4,Drosophila melanogaster,Canton-S,20 μM,7.15,,Female,S,33008901
2376,Pirenperone,75444-65-4,Drosophila melanogaster,Canton-S,200 μM,3.48,,Male,NS,33008901
1207,Pirenperone,75444-65-4,Caenorhabditis elegans,N2,100 µM,2.24,,,NS,33008901
2374,Pinvarium Bromide,,Drosophila melanogaster,Canton-S,200 μM,5.4,,Male,NS,33008901
2375,Pinvarium Bromide,,Drosophila melanogaster,Canton-S,20 μM,-7.35,,Female,S,33008901
2372,Pinitol,484-68-4,Drosophila melanogaster,Canton S,,12.5,,Female,S,22843669
2373,Pinitol,484-68-4,Drosophila melanogaster,Canton S,,8.7,,Male,S,22843669
2924,Pineal gland-derived polyeptide factors,,Mus musculus,,0.1 mg,20.0,,FEMALE,S,2682058
1206,Pine Bark extract,,Caenorhabditis elegans,N2,10 µg/mL,,5.2,,S,19350411
2371,Pinaverium bromide,53251-94-8,Drosophila melanogaster,Canton-S,200 μM,2.97,,Male,NS,33008901
1205,Pinaverium bromide,53251-94-8,Caenorhabditis elegans,N2,10 µM,-1.79,,,NS,33008901
3095,Pilocarpine,92-13-7,Rattus norvegicus,Sprague Dawley,30 mg/kg/week,-8.33,,MALE,NS,132031
3096,Pilocarpine,92-13-7,Rattus norvegicus,Sprague Dawley,30 mg/kg/week,-12.76,,FEMALE,NS,132031
1204,Piericidin A,2738-64-9,Caenorhabditis elegans,N2,100 nM,5.0,,,S,24199155
1203,Pictilisib,957054-30-7,Caenorhabditis elegans,N2,1 µM,9.6,,,S,23543623
1202,Picolinic acid,98-98-6,Caenorhabditis elegans,N2,1 mM,7.0,,,S,25643626
1200,Piceatannol,10083-24-6,Caenorhabditis elegans,N2,50 µM,18.3,,,S,28128482
1201,Piceatannol,10083-24-6,Caenorhabditis elegans,N2,100 µM,18.3,,,S,28128482
1199,Phosphoenolpyruvate,138-08-9,Caenorhabditis elegans,N2,5 mM,12.0,,,S,25643626
1198,Phosphoenolpyruvate,138-08-9,Caenorhabditis elegans,N2,10 mM,8.0,,,S,25643626
1197,Phosphoenolpyruvate,138-08-9,Caenorhabditis elegans,N2,1 mM,12.0,,,S,25643626
1196,Phosphatidylserine,,Caenorhabditis elegans,N2,100 μg/L,7.02,13.63,,S,31915963
1195,Phosphatidylinositol ether lipid analogue 6,,Caenorhabditis elegans,N2,1 µM,10.0,,,S,23543623
1194,Phosphatidylinositol ether lipid analogue 24 ,,Caenorhabditis elegans,N2,1 µM,14.0,,,S,23543623
1193,Phosphatidylethanolamine,,Caenorhabditis elegans,N2,1 mg/L,12.7,20.0,,S,33974957
1192,Phosphatidylcholine,,Caenorhabditis elegans,N2,10 mg/L,17.76,,,S,31379987
1191,Phosphatidylcholine,,Caenorhabditis elegans,N2,100 mg/L,15.0,,,S,31379987
3169,Phloridzin,60-81-1,Saccharomyces cerevisiae,K6001,1 μM,5.79,,,NS,21597195
3170,Phloridzin,60-81-1,Saccharomyces cerevisiae,K6001,10 μM,17.39,,,S,21597195
3171,Phloridzin,60-81-1,Saccharomyces cerevisiae,K6001,30 μM,33.33,,,S,21597195
2370,Phenylbutazone,50-33-9,Drosophila melanogaster,Canton S,100 mg/100 mL of medium,22.0,38.0,Female,NS,4397875
2369,PhenylFuroxancarbonitrile,,Drosophila melanogaster,Canton-S,200 μM,2.93,,Male,NS,33008901
2368,Phenyl furoxancarbonitrile,,Drosophila melanogaster,Canton-S,200 μM,3.98,,Male,NS,33008901
2367,Phenyl furoxancarbonitrile,,Drosophila melanogaster,Canton-S,20 μM,7.69,,Female,S,33008901
1189,Phenoxybenzamine Hydrochloride,63-92-3,Caenorhabditis elegans,N2,10 µM,-4.85,,,NS,33008901
1190,Phenoxybenzamine Hydrochloride,63-92-3,Caenorhabditis elegans,N2,100 µM,4.0,,,NS,33008901
2366,Phenoxybenzamine HCl,63-92-3,Drosophila melanogaster,Canton-S,200 μM,5.23,,Male,NS,33008901
2363,Phenol,108-95-2,Drosophila melanogaster,Oregon-R,0.1 mM,-6.59,,MALE,S,3921599
2364,Phenol,108-95-2,Drosophila melanogaster,Oregon-R,0.01 mM,-4.23,,MALE,NS,3921599
2365,Phenol,108-95-2,Drosophila melanogaster,Oregon-R,0.001 mM,-3.55,,MALE,NS,3921599
3093,Phenobarbital,50-06-6,Rattus norvegicus,Sprague Dawley,2 mg/kg/week,-16.66,,MALE,S,132031
3094,Phenobarbital,50-06-6,Rattus norvegicus,Sprague Dawley,2 mg/kg/week,-9.57,,FEMALE,S,132031
2923,Phenformin,114-86-3,Mus musculus,C3H/Sn,"2 mg, 5 times a week",21.0,26.0,Female,S,14618027
1188,Phenformin,114-86-3,Caenorhabditis elegans,N2,4.5 mM,29.0,,,S,23540700
1187,Phenelzine sulfate,156-51-4,Caenorhabditis elegans,N2,100 µM,-0.84,,,NS,33008901
1186,Phenelzine sulfate,156-51-4,Caenorhabditis elegans,N2,10 µM,-3.17,,,NS,33008901
2362,Phenelzine,51-71-8,Drosophila melanogaster,Canton-S,200 μM,-5.35,,Male,NS,33008901
2361,Phenelzine,51-71-8,Drosophila melanogaster,Canton-S,20 μM,-1.18,,Female,NS,33008901
1185,Phaseolus vulgaris Extract,,Caenorhabditis elegans,N2,150 µg / mL,13.2,,,S,20455573
103,Peyssonnelia sp. extract,,Brachionus manjavacas,,2 µg/ml,8.5,,,S,24120568
1184,Perphenazine,58-39-9,Caenorhabditis elegans,N2,10 µM,-1.52,,,NS,33008901
1183,Perphenazine,58-39-9,Caenorhabditis elegans,N2,100 µM,-16.16,,,S,33008901
2360,Perpenazine,,Drosophila melanogaster,Canton-S,20 μM,4.84,,Female,NS,33008901
2359,Peroglide methanesulfonate,,Drosophila melanogaster,Canton-S,20 μM,-1.36,,Female,NS,33008901
1182,Pergolide methanesulfonate,66104-23-2,Caenorhabditis elegans,,13 µM,37.0,,,S,24134630
1181,Paxilline,‎57186-25-1,Caenorhabditis elegans,N2,10 nM,26.62,,,S,30613772
1177,Paraquat,4685-14-7,Caenorhabditis elegans,N2,0.1 mM,58.0,48.0,,S,21151885
1178,Paraquat,4685-14-7,Caenorhabditis elegans,N2,100 µM,23.73,30.77,,S,27683245
3007,Paraquat,4685-14-7,Musca domestica,,1 mM,-36.21,,MALE,S,6149066
1180,Paraquat,4685-14-7,Caenorhabditis elegans,N2,200 µM,24.6,13.58,,S,28992589
1179,Paraquat,4685-14-7,Caenorhabditis elegans,N2,100 µM,13.53,,,S,28054425
2358,Paraquat,4685-14-7,Drosophila melanogaster,Dahomey,1 mM,-41.4,,,S,27076081
2356,Pantothenic acid,79-83-4,Drosophila melanogaster,cross between Canton S females with Oregon RC males,50 mg/100 mL of medium,23.0,1.0,Male,NS,4397875
2357,Pantothenic acid,79-83-4,Drosophila melanogaster,cross between Canton S females with Oregon RC males,50 mg/100 mL of medium,2.0,-3.0,Female,NS,4397875
1176,Panax notoginseng main root polysaccharide,,Caenorhabditis elegans,N2,0.1 mg/ml,21.0,,,O,26234580
1175,Palmostatin M,,Caenorhabditis elegans,N2,25 µM,1.0,,,NS,30911178
1174,Palmostatin B,,Caenorhabditis elegans,N2,50 µM,-10.0,,,NS,30911178
1173,Palmitoleic acid,373-49-9,Caenorhabditis elegans,N2,800 µM,17.09,,,S,28379943
1172,Palmitic acid,57-10-3,Caenorhabditis elegans,N2,40 μM,-5.55,,,S,21386131
1171,Palmatine,3486-67-7,Caenorhabditis elegans,N2,100 µM,-9.4,,,S,33008901
1170,Palmatine,3486-67-7,Caenorhabditis elegans,N2,10 µM,-1.15,,,NS,33008901
2355,PPG,,Drosophila melanogaster,Canton-S,200 μM,5.87,,Male,NS,33008901
2354,PP2 AG1879,172889-27-9,Drosophila melanogaster,Oregon R,300 µM,22.8,,,S,22363408
2353,PNU_74654,,Drosophila melanogaster,Canton-S,20 μM,4.42,,Female,NS,33008901
1168,PNU-74654,,Caenorhabditis elegans,N2,10 µM,-0.92,,,NS,33008901
1169,PNU-74654,,Caenorhabditis elegans,N2,100 µM,2.46,,,NS,33008901
1167,PF-04457845,1020315-31-4,Caenorhabditis elegans,N2,50 µM,-11.0,,,NS,30911178
1166,PDMP,73257-80-4,Caenorhabditis elegans,N2,30 µM,37.5,39.13,,S,25437839
2352,PD-98059,167869-21-8,Drosophila melanogaster,Oregon R,300-1000 µM,27.0,,,S,22363408
1163,Oxyresveratrol,29700-22-9,Caenorhabditis elegans,N2,100 µM,7.4,,,S,27190265
1165,Oxyresveratrol,29700-22-9,Caenorhabditis elegans,N2,1 mM,31.1,,,S,27190265
1164,Oxyresveratrol,29700-22-9,Caenorhabditis elegans,N2,500 µM,17.8,,,S,27190265
1159,Oxoline,30266-58-1,Caenorhabditis elegans,N2,100 µM,9.0,15.0,,NS,21765926
1157,Oxoline,30266-58-1,Caenorhabditis elegans,N2,50 µM,2.0,1.0,,NS,21765926
1154,Oxoline,30266-58-1,Caenorhabditis elegans,N2,500 µM,15.0,12.0,,S,21765926
1152,Oxoline,30266-58-1,Caenorhabditis elegans,N2,1 mM,13.0,18.0,,S,21765926
1153,Oxoline,30266-58-1,Caenorhabditis elegans,N2,1 mM,12.0,24.0,,S,21765926
1158,Oxoline,30266-58-1,Caenorhabditis elegans,N2,500 µM,15.0,10.0,,S,21765926
1155,Oxoline,30266-58-1,Caenorhabditis elegans,N2,1 mM,10.0,24.0,,S,21765926
1160,Oxoline,30266-58-1,Caenorhabditis elegans,N2,100 µM,2.0,5.0,,NS,21765926
1161,Oxoline,30266-58-1,Caenorhabditis elegans,N2,100 µM,2.0,-8.0,,NS,21765926
1162,Oxoline,30266-58-1,Caenorhabditis elegans,N2,500 µM,3.0,12.0,,S,21765926
1156,Oxoline,30266-58-1,Caenorhabditis elegans,N2,500 µM,15.0,14.0,,S,21765926
1150,Oxcarbazepine,28721-07-5,Caenorhabditis elegans,N2,100 µM,-17.92,,,S,33008901
1151,Oxcarbazepine,28721-07-5,Caenorhabditis elegans,N2,10 µM,-2.29,,,NS,33008901
1149,Oxatomide,60607-34-3,Caenorhabditis elegans,,88 µM,25.0,,,S,24134630
2351,Oxarbazepine,,Drosophila melanogaster,Canton-S,20 μM,2.84,,Female,NS,33008901
1148,Oxaloacetate,328-42-7,Caenorhabditis elegans,N2,8 mM,25.0,13.0,,S,19793063
